"time","close","high","low","open","volumefrom","volumeto","VOLALITY8hour"
"2017-07-13",194.07,207.94,193.23,207.84,194181.1,38539448.8,3.1
"2017-07-13",202.14,203.22,193.2,194.07,154388,30485516.26,2.97
"2017-07-13",205.41,207.63,198.89,202.14,97432.49,19791972.89,3.16
"2017-07-13",198.77,207.07,198.46,205.41,120238.87,24156822.79,3.23
"2017-07-13",201.99,202.37,198.71,198.77,43896.19,8791610.06,3.35
"2017-07-14",201.28,203.4,199.71,201.99,47909.53,9641171.63,3.35
"2017-07-14",200.87,202.86,200.53,201.28,32173.09,6464957.49,3.34
"2017-07-14",191.47,200.92,188.68,200.87,178361.23,34243462.49,2.81
"2017-07-14",188.37,193.23,182.62,191.47,232812.94,43395813.14,2.22
"2017-07-14",189.54,194.54,187.29,188.37,156532.15,29872917.08,2.08
"2017-07-14",197.14,200.07,188.28,189.54,127765.53,24903341.4,2.51
"2017-07-14",188.55,198.71,188.01,197.14,82643.81,15934830.51,2.8
"2017-07-14",188.06,193.72,186.82,188.55,101304.31,19168177.8,2.8
"2017-07-15",185.32,190.24,185.08,188.06,73226.1,13672722.74,2.78
"2017-07-15",184.68,188.73,184.43,185.32,71091.9,13205421.52,2.36
"2017-07-15",180.48,186.58,178.07,184.68,170962.19,31001365.39,2.41
"2017-07-15",182.34,184.06,175.92,180.48,175011.98,31422284.9,2.44
"2017-07-15",175.11,183.23,175.04,182.34,107611.82,19253507.5,1.88
"2017-07-15",169.1,177.7,168.95,175.11,188893.55,32825704.18,1.7
"2017-07-15",169.8,171.91,164.53,169.1,188498.28,31728900.65,1.79
"2017-07-15",161.05,170.97,160.8,169.8,109914.01,18183886.75,2.24
"2017-07-16",155.08,163.37,154.69,161.05,240606.85,38145822.85,2.2
"2017-07-16",138.87,155.1,138.48,155.08,400431.29,59122812.02,3.7
"2017-07-16",146.58,153.93,132.64,138.87,603100.87,86943338.61,4.69
"2017-07-16",158.77,163.58,146.58,146.58,392315.63,61351170.04,6.05
"2017-07-16",148.69,159.03,143.59,158.77,283605.89,42625170.87,6.29
"2017-07-16",155.42,160.18,145.45,148.69,234743.91,36075782.66,6.64
"2017-07-16",160.27,166.36,154.25,155.42,226199.93,36661354.43,6.56
"2017-07-16",165.58,165.6,156.65,160.27,128816.11,20913068.83,6.45
"2017-07-17",177.09,179.56,165.46,165.58,287598.77,50117597.06,4.41
"2017-07-17",165.33,177.59,164.88,177.09,212671.55,36855439.9,5.58
"2017-07-17",173.01,173.1,160.27,165.33,306439.43,50848028.85,5.14
"2017-07-17",175.96,177.28,167.62,173.01,258589.36,44653238.67,4.05
"2017-07-17",182.12,185.43,172.58,175.96,286555.86,51155899.37,4
"2017-07-17",189.97,190.26,178.18,182.12,329941.68,61215634.04,4.05
"2017-07-17",184.96,191.99,180.04,189.97,228136.13,42265115.19,4.39
"2017-07-17",188.58,188.62,177.42,184.96,165302.36,30149447.04,3.88
"2017-07-18",188.59,192.81,186.06,188.58,171457.88,32594411.83,2.37
"2017-07-18",192.14,194.06,185.79,188.59,151987.8,28793051.6,2.11
"2017-07-18",208.16,208.16,191.22,192.14,326435.4,64707801.41,3.11
"2017-07-18",206.04,212.64,199.4,208.16,488102.25,100702720.11,3.29
"2017-07-18",245.02,256.89,206,206.04,836737.35,193245759.47,6.41
"2017-07-18",227.09,246.55,216.38,245.02,651043.77,149745158.89,7.27
"2017-07-18",215.78,228.01,210.72,227.09,286581.35,62592375.63,7.81
"2017-07-18",235.21,235.33,215.52,215.78,297498.88,67406156.92,8.08
"2017-07-19",232.92,244.02,231.37,235.21,253707.47,60620575.19,8.21
"2017-07-19",228.31,237.41,228.02,232.92,141159.81,32643940.57,8.04
"2017-07-19",226.3,228.63,214.93,228.31,319037.49,70712022.95,8.03
"2017-07-19",219.31,229.79,217.69,226.3,204066.57,45665425.85,4.72
"2017-07-19",203.14,219.31,191.43,219.31,723523.52,146164586.08,4.73
"2017-07-19",194.41,208.77,187.21,203.14,457262.85,90243905.89,4.67
"2017-07-19",217.76,219.77,194.41,194.41,382445.84,79313408.97,5.53
